Address,Country ,State,City,New customer records
"Spring, TX",US,TX,Spring,40
"Buffalo, NY",US,NY,Buffalo,40
"NewOrleans, LA",US,LA,NewOrleans,38
"Plano, TX",US,TX,Plano,38
"VirginiaBeach, VA",US,VA,VirginiaBeach,37
"Madison, WI",US,WI,Madison,37
"Henderson, NV",US,NV,Henderson,35
"Sarasota, FL",US,FL,Sarasota,35
"SaintPaul, MN",US,MN,SaintPaul,34
"Greensboro, NC",US,NC,Greensboro,34
"Riverside, CA",US,CA,Riverside,34
"StPetersburg, FL",US,FL,StPetersburg,32
"Decatur, GA",US,GA,Decatur,32
"SantaMonica, CA",US,CA,SantaMonica,31
"FortLauderdale, FL",US,FL,FortLauderdale,31
"Wilmington, DE",US,DE,Wilmington,31
"Detroit, MI",US,MI,Detroit,31
"Memphis, TN",US,TN,Memphis,31
"McKinney, TX",US,TX,McKinney,30
"Tacoma, WA",US,WA,Tacoma,30
"Arlington, TX",US,TX,Arlington,29
"Naperville, IL",US,IL,Naperville,29
"Bethesda, MD",US,MD,Bethesda,28
"Katy, TX",US,TX,Katy,28
"Astoria, NY",US,NY,Astoria,28
"ElPaso, TX",US,TX,ElPaso,28
"GrandRapids, MI",US,MI,GrandRapids,27
"SaltLakeCity, UT",US,UT,SaltLakeCity,27
"Columbia, SC",US,SC,Columbia,27
"BocaRaton, FL",US,FL,BocaRaton,27
"Omaha, NE",US,NE,Omaha,27
"FallsChurch, VA",US,VA,FallsChurch,26
"LittleRock, AR",US,AR,LittleRock,26
"Carlsbad, CA",US,CA,Carlsbad,26
"Charleston, SC",US,SC,Charleston,26
"Albuquerque, NM",US,NM,Albuquerque,25
"ShermanOaks, CA",US,CA,ShermanOaks,25
"Tallahassee, FL",US,FL,Tallahassee,25
"Fairfax, VA",US,VA,Fairfax,25
"Stamford, CT",US,CT,Stamford,25
"Olympia, WA",US,WA,Olympia,25
"Smyrna, GA",US,GA,Smyrna,25
"Aurora, CO",US,CO,Aurora,25
"Roseville, CA",US,CA,Roseville,25
"Chesapeake, VA",US,VA,Chesapeake,25
"Cary, NC",US,NC,Cary,25
"OklahomaCity, OK",US,OK,OklahomaCity,24
"StatenIsland, NY",US,NY,StatenIsland,24
"Naples, FL",US,FL,Naples,24
"Ashburn, VA",US,VA,Ashburn,24
"Chandler, AZ",US,AZ,Chandler,24
"Glendale, CA",US,CA,Glendale,24
"Frisco, TX",US,TX,Frisco,24
"London, ENG",GB,ENG,London,24
"Columbia, MD",US,MD,Columbia,24
"Mesa, AZ",US,AZ,Mesa,24
"BatonRouge, LA",US,LA,BatonRouge,24
"SantaClarita, CA",US,CA,SantaClarita,23
"Gilbert, AZ",US,AZ,Gilbert,23
"Vancouver, WA",US,WA,Vancouver,23
"Milwaukee, WI",US,WI,Milwaukee,23
"Lawrenceville, GA",US,GA,Lawrenceville,22
"WinstonSalem, NC",US,NC,WinstonSalem,22
"Alpharetta, GA",US,GA,Alpharetta,22
"Lexington, KY",US,KY,Lexington,22
"Burbank, CA",US,CA,Burbank,22
"Queens, NY",US,NY,Queens,22
"Gaithersburg, MD",US,MD,Gaithersburg,21
"Bakersfield, CA",US,CA,Bakersfield,21
"WestHollywood, CA",US,CA,WestHollywood,21
"LongIslandCity, NY",US,NY,LongIslandCity,21
"Rochester, NY",US,NY,Rochester,21
"Carmel, IN",US,IN,Carmel,21
"Franklin, TN",US,TN,Franklin,21
"Cleveland, OH",US,OH,Cleveland,21
"Honolulu, HI",US,HI,Honolulu,21
"SanMateo, CA",US,CA,SanMateo,21
"Tulsa, OK",US,OK,Tulsa,21
"SugarLand, TX",US,TX,SugarLand,21
"Bellevue, WA",US,WA,Bellevue,21
"WestPalmBeach, FL",US,FL,WestPalmBeach,20
"Gainesville, FL",US,FL,Gainesville,20
"MissouriCity, TX",US,TX,MissouriCity,20
"Hoboken, NJ",US,NJ,Hoboken,20
"Montclair, NJ",US,NJ,Montclair,20
"Woodbridge, VA",US,VA,Woodbridge,20
"Fresno, CA",US,CA,Fresno,20
"Garland, TX",US,TX,Garland,20
"Wilmington, NC",US,NC,Wilmington,20
"Richmond, TX",US,TX,Richmond,20
"HuntingtonBeach, CA",US,CA,HuntingtonBeach,19
"SaintAugustine, FL",US,FL,SaintAugustine,19
"BeverlyHills, CA",US,CA,BeverlyHills,19
"RedondoBeach, CA",US,CA,RedondoBeach,19
"WalnutCreek, CA",US,CA,WalnutCreek,19
"Vienna, VA",US,VA,Vienna,19
"Napa, CA",US,CA,Napa,19
"ElkGrove, CA",US,CA,ElkGrove,19
"SantaAna, CA",US,CA,SantaAna,19
"Knoxville, TN",US,TN,Knoxville,19
"Dayton, OH",US,OH,Dayton,19
"Laurel, MD",US,MD,Laurel,19
"Parker, CO",US,CO,Parker,19
"Valencia, CA",US,CA,Valencia,19
"Beaverton, OR",US,OR,Beaverton,19
"RanchoCucamonga, CA",US,CA,RanchoCucamonga,18
"WinterGarden, FL",US,FL,WinterGarden,18
"MorenoValley, CA",US,CA,MorenoValley,18
"WestHartford, CT",US,CT,WestHartford,18
"BoyntonBeach, FL",US,FL,BoyntonBeach,18
"ChulaVista, CA",US,CA,ChulaVista,18
"Spokane, WA",US,WA,Spokane,18
"AnnArbor, MI",US,MI,AnnArbor,18
"Savannah, GA",US,GA,Savannah,18
"Littleton, CO",US,CO,Littleton,18
"ManhattanBeach, CA",US,CA,ManhattanBeach,17
"Fairfield, CA",US,CA,Fairfield,17
"Corona, CA",US,CA,Corona,17
"Temecula, CA",US,CA,Temecula,17
"Greenville, SC",US,SC,Greenville,17
"OakPark, IL",US,IL,OakPark,17
"Jamaica, NY",US,NY,Jamaica,17
"Oceanside, CA",US,CA,Oceanside,17
"Bothell, WA",US,WA,Bothell,17
"FortMyers, FL",US,FL,FortMyers,17
"Rockville, MD",US,MD,Rockville,17
"RedwoodCity, CA",US,CA,RedwoodCity,16
"NorthHollywood, CA",US,CA,NorthHollywood,16
"Springfield, VA",US,VA,Springfield,16
"EdenPrairie, MN",US,MN,EdenPrairie,16
"ThousandOaks, CA",US,CA,ThousandOaks,16
"Orange, CA",US,CA,Orange,16
"Anchorage, AK",US,AK,Anchorage,16
"Roswell, GA",US,GA,Roswell,16
"Toronto, ON",CA,ON,Toronto,16
"Anaheim, CA",US,CA,Anaheim,16
"Carrollton, TX",US,TX,Carrollton,16
"SanRamon, CA",US,CA,SanRamon,16
"Huntsville, AL",US,AL,Huntsville,16
"MiraMar, FL",US,FL,MiraMar,16
"Easton, PA",US,PA,Easton,16
"ChapelHill, NC",US,NC,ChapelHill,16
"Doral, FL",US,FL,Doral,16
"Concord, CA",US,CA,Concord,16
"Eugene, OR",US,OR,Eugene,16
"Midlothian, VA",US,VA,Midlothian,16
"Leander, TX",US,TX,Leander,16
"Bowie, MD",US,MD,Bowie,16
"OverlandPark, KS",US,KS,OverlandPark,15
"MountainView, CA",US,CA,MountainView,15
"KingofPrussia, PA",US,PA,KingofPrussia,15
"FortCollins, CO",US,CO,FortCollins,15
"WhitePlains, NY",US,NY,WhitePlains,15
"Ypsilanti, MI",US,MI,Ypsilanti,15
"Dublin, OH",US,OH,Dublin,15
"Norwalk, CT",US,CT,Norwalk,15
"Escondido, CA",US,CA,Escondido,15
"Goleta, CA",US,CA,Goleta,15
"Irving, TX",US,TX,Irving,15
"Henrico, VA",US,VA,Henrico,15
"Kirkland, WA",US,WA,Kirkland,15
"SantaClara, CA",US,CA,SantaClara,15
"Frederick, MD",US,MD,Frederick,15
"Stafford, VA",US,VA,Stafford,15
"Boise, ID",US,ID,Boise,15
"PaloAlto, CA",US,CA,PaloAlto,15
"Sunnyvale, CA",US,CA,Sunnyvale,15
"Hayward, CA",US,CA,Hayward,15
"RoundRock, TX",US,TX,RoundRock,15
"Ventura, CA",US,CA,Ventura,15
"Annapolis, MD",US,MD,Annapolis,15
"Inglewood, CA",US,CA,Inglewood,15
"Riverview, FL",US,FL,Riverview,15
"Fairfield, CT",US,CT,Fairfield,15
"CastroValley, CA",US,CA,CastroValley,14
"UpperMarlboro, MD",US,MD,UpperMarlboro,14
"SanLuisObispo, CA",US,CA,SanLuisObispo,14
"Hyattsville, MD",US,MD,Hyattsville,14
"PorterRanch, CA",US,CA,PorterRanch,14
"MountVernon, NY",US,NY,MountVernon,14
"PembrokePines, FL",US,FL,PembrokePines,14
"NorthLasVegas, NV",US,NV,NorthLasVegas,14
"Summerville, SC",US,SC,Summerville,14
"NewRochelle, NY",US,NY,NewRochelle,14
"NewportBeach, CA",US,CA,NewportBeach,14
"MarinadelRey, CA",US,CA,MarinadelRey,14
"MissionViejo, CA",US,CA,MissionViejo,14
"ArmyPostOffice, AE",US,AE,ArmyPostOffice,14
"Charlottesville, VA",US,VA,Charlottesville,14
"Woodbury, MN",US,MN,Woodbury,14
"Cumming, GA",US,GA,Cumming,14
"Reno, NV",US,NV,Reno,14
"CostaMesa, CA",US,CA,CostaMesa,14
"Camarillo, CA",US,CA,Camarillo,14
"Kennesaw, GA",US,GA,Kennesaw,14
"Cypress, TX",US,TX,Cypress,14
"DesMoines, IA",US,IA,DesMoines,14
"CedarPark, TX",US,TX,CedarPark,14
"Greenwich, CT",US,CT,Greenwich,14
"Renton, WA",US,WA,Renton,14
"ChevyChase, MD",US,MD,ChevyChase,14
"Puyallup, WA",US,WA,Puyallup,14
"Leesburg, VA",US,VA,Leesburg,14
"Hawthorne, CA",US,CA,Hawthorne,14
"McLean, VA",US,VA,McLean,14
"Germantown, MD",US,MD,Germantown,14
"Herndon, VA",US,VA,Herndon,14
"StudioCity, CA",US,CA,StudioCity,14
"Syracuse, NY",US,NY,Syracuse,14
"Huntersville, NC",US,NC,Huntersville,13
"Clarksville, TN",US,TN,Clarksville,13
"WesleyChapel, FL",US,FL,WesleyChapel,13
"AgouraHills, CA",US,CA,AgouraHills,13
"WoodlandHills, CA",US,CA,WoodlandHills,13
"Novato, CA",US,CA,Novato,13
"Folsom, CA",US,CA,Folsom,13
"Issaquah, WA",US,WA,Issaquah,13
"Reston, VA",US,VA,Reston,13
"Pleasanton, CA",US,CA,Pleasanton,13
"Montgomery, AL",US,AL,Montgomery,13
"CastleRock, CO",US,CO,CastleRock,13
"Bradenton, FL",US,FL,Bradenton,13
"McDonough, GA",US,GA,McDonough,13
"Fremont, CA",US,CA,Fremont,13
"Auburn, WA",US,WA,Auburn,13
"Vallejo, CA",US,CA,Vallejo,13
"SantaRosa, CA",US,CA,SantaRosa,13
"Clovis, CA",US,CA,Clovis,13
"Augusta, GA",US,GA,Augusta,13
"Evanston, IL",US,IL,Evanston,13
"Fontana, CA",US,CA,Fontana,13
"Lakewood, CO",US,CO,Lakewood,13
"Whittier, CA",US,CA,Whittier,13
"Lakewood, CA",US,CA,Lakewood,13
"CulverCity, CA",US,CA,CulverCity,13
"Manchester, CT",US,CT,Manchester,13
"Edmond, OK",US,OK,Edmond,13
"WestLafayette, IN",US,IN,WestLafayette,12
"Fayetteville, NC",US,NC,Fayetteville,12
"Fredericksburg, VA",US,VA,Fredericksburg,12
"PortSaintLucie, FL",US,FL,PortSaintLucie,12
"GrandPrairie, TX",US,TX,GrandPrairie,12
"CedarRapids, IA",US,IA,CedarRapids,12
"ShakerHeights, OH",US,OH,ShakerHeights,12
"Douglasville, GA",US,GA,Douglasville,12
"MountPleasant, SC",US,SC,MountPleasant,12
"ValleyStream, NY",US,NY,ValleyStream,12
"DeerfieldBeach, FL",US,FL,DeerfieldBeach,12
"OwingsMills, MD",US,MD,OwingsMills,12
"Berkeley, CA",US,CA,Berkeley,12
"Sanborn, NY",US,NY,Sanborn,12
"Peoria, AZ",US,AZ,Peoria,12
"FortMill, SC",US,SC,FortMill,12
"MenloPark, CA",US,CA,MenloPark,12
"Salem, OR",US,OR,Salem,12
"Arvada, CO",US,CO,Arvada,12
"Sparks, NV",US,NV,Sparks,12
"Oxnard, CA",US,CA,Oxnard,12
"Olathe, KS",US,KS,Olathe,12
"Kissimmee, FL",US,FL,Kissimmee,12
"Portland, ME",US,ME,Portland,12
"Wheaton, IL",US,IL,Wheaton,12
"Nashua, NH",US,NH,Nashua,12
"LeesSummit, MO",US,MO,LeesSummit,12
"Hoover, AL",US,AL,Hoover,12
"Acworth, GA",US,GA,Acworth,12
"LakeForest, CA",US,CA,LakeForest,12
"Vancouver, BC",CA,BC,Vancouver,12
"Richardson, TX",US,TX,Richardson,12
"WakeForest, NC",US,NC,WakeForest,12
"Columbus, GA",US,GA,Columbus,12
"Darien, CT",US,CT,Darien,12
"NewCastle, DE",US,DE,NewCastle,12
"Suwanee, GA",US,GA,Suwanee,12
"Lincoln, NE",US,NE,Lincoln,12
"Newark, NJ",US,NJ,Newark,12
"Plantation, FL",US,FL,Plantation,12
"Modesto, CA",US,CA,Modesto,12
"Melbourne, FL",US,FL,Melbourne,12
"Alameda, CA",US,CA,Alameda,12
"MapleGrove, MN",US,MN,MapleGrove,12
"Broomfield, CO",US,CO,Broomfield,12
"Beaumont, CA",US,CA,Beaumont,12
"Chattanooga, TN",US,TN,Chattanooga,11
"Williamsburg, VA",US,VA,Williamsburg,11
"Westerville, OH",US,OH,Westerville,11
"CoralSprings, FL",US,FL,CoralSprings,11
"WestChester, PA",US,PA,WestChester,11
"Murfreesboro, TN",US,TN,Murfreesboro,11
"Pflugerville, TX",US,TX,Pflugerville,11
"SandySprings, GA",US,GA,SandySprings,11
"Minnetonka, MN",US,MN,Minnetonka,11
"Westfield, NJ",US,NJ,Westfield,11
"Roanoke, VA",US,VA,Roanoke,11
"Buford, GA",US,GA,Buford,11
"SiouxFalls, SD",US,SD,SiouxFalls,11
"RoyalOak, MI",US,MI,RoyalOak,11
"Newark, DE",US,DE,Newark,11
"Altadena, CA",US,CA,Altadena,11
"PalmDesert, CA",US,CA,PalmDesert,11
"Hollywood, FL",US,FL,Hollywood,11
"AlisoViejo, CA",US,CA,AlisoViejo,11
"Tamarac, FL",US,FL,Tamarac,11
"Albany, NY",US,NY,Albany,11
"Tempe, AZ",US,AZ,Tempe,11
"Harrisburg, PA",US,PA,Harrisburg,11
"FortWayne, IN",US,IN,FortWayne,11
"Fullerton, CA",US,CA,Fullerton,11
"Lakeland, FL",US,FL,Lakeland,11
"Garner, NC",US,NC,Garner,11
"Snellville, GA",US,GA,Snellville,11
"Thornton, CO",US,CO,Thornton,11
"Glendale, AZ",US,AZ,Glendale,11
"Hillsboro, OR",US,OR,Hillsboro,11
"Matthews, NC",US,NC,Matthews,11
"Norman, OK",US,OK,Norman,11
"Manassas, VA",US,VA,Manassas,11
"Asheville, NC",US,NC,Asheville,11
"MillValley, CA",US,CA,MillValley,11
"Cambridge, MA",US,MA,Cambridge,11
"Kalamazoo, MI",US,MI,Kalamazoo,11
"Troy, MI",US,MI,Troy,11
"Clayton, NC",US,NC,Clayton,11
"Petaluma, CA",US,CA,Petaluma,11
"Vista, CA",US,CA,Vista,11
"Lansing, MI",US,MI,Lansing,11
"EllicottCity, MD",US,MD,EllicottCity,10
"SanClemente, CA",US,CA,SanClemente,10
"LaCanadaFlintridge, CA",US,CA,LaCanadaFlintridge,10
"SantaFe, NM",US,NM,SantaFe,10
"Yonkers, NY",US,NY,Yonkers,10
"Blaine, WA",US,WA,Blaine,10
"Edina, MN",US,MN,Edina,10
"Vacaville, CA",US,CA,Vacaville,10
"Encino, CA",US,CA,Encino,10
"Allen, TX",US,TX,Allen,10
"Elmont, NY",US,NY,Elmont,10
"Lawrence, KS",US,KS,Lawrence,10
"Rocklin, CA",US,CA,Rocklin,10
"Tomball, TX",US,TX,Tomball,10
"Freehold, NJ",US,NJ,Freehold,10
"SimiValley, CA",US,CA,SimiValley,10
"Pearland, TX",US,TX,Pearland,10
"Union, NJ",US,NJ,Union,10
"Windermere, FL",US,FL,Windermere,10
"Ballwin, MO",US,MO,Ballwin,10
"VanNuys, CA",US,CA,VanNuys,10
"Upland, CA",US,CA,Upland,10
"WestHills, CA",US,CA,WestHills,10
"Everett, WA",US,WA,Everett,10
"Jonesboro, GA",US,GA,Jonesboro,10
"WinterPark, FL",US,FL,WinterPark,10
"Lancaster, PA",US,PA,Lancaster,10
"Fishers, IN",US,IN,Fishers,10
"Lynnwood, WA",US,WA,Lynnwood,10
"Visalia, CA",US,CA,Visalia,10
"Dublin, CA",US,CA,Dublin,10
"Monrovia, CA",US,CA,Monrovia,10
"Medford, NJ",US,NJ,Medford,10
"Columbia, MO",US,MO,Columbia,10
"Tucker, GA",US,GA,Tucker,10
"Brentwood, TN",US,TN,Brentwood,10
"Edmonds, WA",US,WA,Edmonds,10
"Chantilly, VA",US,VA,Chantilly,10
"Plymouth, MN",US,MN,Plymouth,10
"Stockton, CA",US,CA,Stockton,10
"Lacey, WA",US,WA,Lacey,10
"York, PA",US,PA,York,10
"Glenview, IL",US,IL,Glenview,10
"Apex, NC",US,NC,Apex,10
"Woodstock, GA",US,GA,Woodstock,10
"Rochester, MN",US,MN,Rochester,10
"SanLeandro, CA",US,CA,SanLeandro,10
"Bremerton, WA",US,WA,Bremerton,10
"RanchoPalosVerdes, CA",US,CA,RanchoPalosVerdes,9
"PalmBeachGardens, FL",US,FL,PalmBeachGardens,9
"ValleyVillage, CA",US,CA,ValleyVillage,9
"CitrusHeights, CA",US,CA,CitrusHeights,9
"BainbridgeIsland, WA",US,WA,BainbridgeIsland,9
"FarmingtonHills, MI",US,MI,FarmingtonHills,9
"PalosVerdesEstates, CA",US,CA,PalosVerdesEstates,9
"CoralGables, FL",US,FL,CoralGables,9
"Fayetteville, AR",US,AR,Fayetteville,9
"Jacksonville, NC",US,NC,Jacksonville,9
"WestDesMoines, IA",US,IA,WestDesMoines,9
"Framingham, MA",US,MA,Framingham,9
"Winnetka, IL",US,IL,Winnetka,9
"Lenexa, KS",US,KS,Lenexa,9
"Plymouth, MA",US,MA,Plymouth,9
"Livonia, MI",US,MI,Livonia,9
"YorbaLinda, CA",US,CA,YorbaLinda,9
"Tarzana, CA",US,CA,Tarzana,9
"Lanham, MD",US,MD,Lanham,9
"Centennial, CO",US,CO,Centennial,9
"CherryHill, NJ",US,NJ,CherryHill,9
"Tigard, OR",US,OR,Tigard,9
"Jupiter, FL",US,FL,Jupiter,9
"Englewood, CO",US,CO,Englewood,9
"Livermore, CA",US,CA,Livermore,9
"Meridian, ID",US,ID,Meridian,9
"Bloomfield, NJ",US,NJ,Bloomfield,9
"Bethlehem, PA",US,PA,Bethlehem,9
"Shreveport, LA",US,LA,Shreveport,9
"Orinda, CA",US,CA,Orinda,9
"Sunrise, FL",US,FL,Sunrise,9
"Waldorf, MD",US,MD,Waldorf,9
"Wichita, KS",US,KS,Wichita,9
"Providence, RI",US,RI,Providence,9
"Metairie, LA",US,LA,Metairie,9
"Aurora, IL",US,IL,Aurora,9
"Brookline, MA",US,MA,Brookline,9
"MorganHill, CA",US,CA,MorganHill,9
"Sterling, VA",US,VA,Sterling,9
"Duluth, GA",US,GA,Duluth,9
"SanPedro, CA",US,CA,SanPedro,9
"Clermont, FL",US,FL,Clermont,9
"Potomac, MD",US,MD,Potomac,9
"Bluffton, SC",US,SC,Bluffton,9
"LittleElm, TX",US,TX,LittleElm,9
"Apopka, FL",US,FL,Apopka,9
"Ridgewood, NY",US,NY,Ridgewood,9
"Norcross, GA",US,GA,Norcross,9
"Voorhees, NJ",US,NJ,Voorhees,9
"Princeton, NJ",US,NJ,Princeton,9
"SanRafael, CA",US,CA,SanRafael,9
"Marlton, NJ",US,NJ,Marlton,9
"Madison, AL",US,AL,Madison,9
"FosterCity, CA",US,CA,FosterCity,9
"Odenton, MD",US,MD,Odenton,9
"Conroe, TX",US,TX,Conroe,9
"Hanover, MD",US,MD,Hanover,9
"Schaumburg, IL",US,IL,Schaumburg,9
"Malden, MA",US,MA,Malden,9
"Downingtown, PA",US,PA,Downingtown,8
"Schenectady, NY",US,NY,Schenectady,8
"BloomfieldHills, MI",US,MI,BloomfieldHills,8
"PortWashington, NY",US,NY,PortWashington,8
"PleasantHill, CA",US,CA,PleasantHill,8
"ForestHills, NY",US,NY,ForestHills,8
"Bloomington, MN",US,MN,Bloomington,8
"GranadaHills, CA",US,CA,GranadaHills,8
"Poughkeepsie, NY",US,NY,Poughkeepsie,8
"BrokenArrow, OK",US,OK,BrokenArrow,8
"Fayetteville, GA",US,GA,Fayetteville,8
"Springfield, MO",US,MO,Springfield,8
"EastLansing, MI",US,MI,EastLansing,8
"DelrayBeach, FL",US,FL,DelrayBeach,8
"HighlandsRanch, CO",US,CO,HighlandsRanch,8
"LakeOswego, OR",US,OR,LakeOswego,8
"Redmond, WA",US,WA,Redmond,8
"Pomona, CA",US,CA,Pomona,8
"Elkhorn, NE",US,NE,Elkhorn,8
"Norristown, PA",US,PA,Norristown,8
"Northridge, CA",US,CA,Northridge,8
"Beverly, MA",US,MA,Beverly,8
"Carson, CA",US,CA,Carson,8
"VeroBeach, FL",US,FL,VeroBeach,8
"Lancaster, CA",US,CA,Lancaster,8
"Norfolk, VA",US,VA,Norfolk,8
"Antioch, TN",US,TN,Antioch,8
"SanMarcos, CA",US,CA,SanMarcos,8
"Middletown, DE",US,DE,Middletown,8
"Cordova, TN",US,TN,Cordova,8
"Wayne, NJ",US,NJ,Wayne,8
"Somerville, MA",US,MA,Somerville,8
"Levittown, NY",US,NY,Levittown,8
"GigHarbor, WA",US,WA,GigHarbor,8
"Waltham, MA",US,MA,Waltham,8
"Keller, TX",US,TX,Keller,8
"LandOLakes, FL",US,FL,LandOLakes,8
"Boerne, TX",US,TX,Boerne,8
"Rockwall, TX",US,TX,Rockwall,8
"Ocala, FL",US,FL,Ocala,8
"Dumfries, VA",US,VA,Dumfries,8
"Killeen, TX",US,TX,Killeen,8
"Newton, MA",US,MA,Newton,8
"Lewes, DE",US,DE,Lewes,8
"Amarillo, TX",US,TX,Amarillo,8
"Charleston, WV",US,WV,Charleston,8
"Midland, TX",US,TX,Midland,8
"Calabasas, CA",US,CA,Calabasas,8
"WestOrange, NJ",US,NJ,WestOrange,8
"Wayne, PA",US,PA,Wayne,8
"Worcester, MA",US,MA,Worcester,8
"Macon, GA",US,GA,Macon,8
"Surprise, AZ",US,AZ,Surprise,8
"Danville, CA",US,CA,Danville,8
"Menifee, CA",US,CA,Menifee,8
"Greer, SC",US,SC,Greer,8
"EwaBeach, HI",US,HI,EwaBeach,8
"Baldwin, NY",US,NY,Baldwin,8
"Westfield, IN",US,IN,Westfield,8
"Redlands, CA",US,CA,Redlands,8
"Greenbelt, MD",US,MD,Greenbelt,8
"Claremont, CA",US,CA,Claremont,8
"BrynMawr, PA",US,PA,BrynMawr,8
"SantaMaria, CA",US,CA,SantaMaria,8
"SanCarlos, CA",US,CA,SanCarlos,8
"Lewisville, TX",US,TX,Lewisville,8
"Watertown, MA",US,MA,Watertown,8
"Leawood, KS",US,KS,Leawood,8
"Boulder, CO",US,CO,Boulder,8
"Belleville, IL",US,IL,Belleville,8
"ClarendonHills, IL",US,IL,ClarendonHills,7
"PompanoBeach, FL",US,FL,PompanoBeach,7
"CorpusChristi, TX",US,TX,CorpusChristi,7
"Hattiesburg, MS",US,MS,Hattiesburg,7
"SaintCharles, MO",US,MO,SaintCharles,7
"SanBernardino, CA",US,CA,SanBernardino,7
"StoneMountain, GA",US,GA,StoneMountain,7
"Strongsville, OH",US,OH,Strongsville,7
"CoconutCreek, FL",US,FL,CoconutCreek,7
"WinterSprings, FL",US,FL,WinterSprings,7
"RanchoSantaFe, CA",US,CA,RanchoSantaFe,7
"NorthChesterfield, VA",US,VA,NorthChesterfield,7
"RochesterHills, MI",US,MI,RochesterHills,7
"VernonHills, IL",US,IL,VernonHills,7
"ArlingtonHeights, IL",US,IL,ArlingtonHeights,7
"NewportNews, VA",US,VA,NewportNews,7
"PointRoberts, WA",US,WA,PointRoberts,7
"Mississauga, ON",CA,ON,Mississauga,7
"Phoenixville, PA",US,PA,Phoenixville,7
"Bentonville, AR",US,AR,Bentonville,7
"Catonsville, MD",US,MD,Catonsville,7
"CottageGrove, MN",US,MN,CottageGrove,7
"RanchoCordova, CA",US,CA,RanchoCordova,7
"LaderaRanch, CA",US,CA,LaderaRanch,7
"FortWashington, MD",US,MD,FortWashington,7
"Gainesville, GA",US,GA,Gainesville,7
"BowlingGreen, KY",US,KY,BowlingGreen,7
"Bloomington, IN",US,IN,Bloomington,7
"DaytonaBeach, FL",US,FL,DaytonaBeach,7
"HighlandPark, IL",US,IL,HighlandPark,7
"JohnsonCity, TN",US,TN,JohnsonCity,7
"MountLaurel, NJ",US,NJ,MountLaurel,7
"Arlington, MA",US,MA,Arlington,7
"Brookhaven, GA",US,GA,Brookhaven,7
"Glenside, PA",US,PA,Glenside,7
"Akron, OH",US,OH,Akron,7
"Medford, OR",US,OR,Medford,7
"Larchmont, NY",US,NY,Larchmont,7
"Waukee, IA",US,IA,Waukee,7
"SantaCruz, CA",US,CA,SantaCruz,7
"Montecito, CA",US,CA,Montecito,7
"Weston, FL",US,FL,Weston,7
"Bayonne, NJ",US,NJ,Bayonne,7
"Quincy, MA",US,MA,Quincy,7
"Gardena, CA",US,CA,Gardena,7
"EastOrange, NJ",US,NJ,EastOrange,7
"Tyler, TX",US,TX,Tyler,7
