Address,"Country ",State,City,New customer records,Latitude,Longitude
"SaltLakeCity, UT",US,UT,Salt Lake City,27,40.7596198,-111.8867970
"Columbia, SC",US,SC,Columbia,27,33.9942689,-81.0402962
"BocaRaton, FL",US,FL,Boca Raton,27,26.3657801,-80.1146431
"Omaha, NE",US,NE,Omaha,27,41.2500119,-95.9273854
"FallsChurch, VA",US,VA,Falls Church,26,38.8823340,-77.1710914
"LittleRock, AR",US,AR,Little Rock,26,34.7465071,-92.2896267
"Carlsbad, CA",US,CA,Carlsbad,26,33.1507749,-117.3484893
"Charleston, SC",US,SC,Charleston,26,32.7884363,-79.9399309
"Albuquerque, NM",US,NM,Albuquerque,25,35.0834079,-106.647296
"ShermanOaks, CA",US,CA,Sherman Oaks,25,34.1518745,-118.4665592
"Tallahassee, FL",US,FL,Tallahassee,25,30.4627979,-84.2697329
"Fairfax, VA",US,VA,Fairfax,25,38.8907693,-77.3482828
"Stamford, CT",US,CT,Stamford,25,41.0469042,-73.5420246
"Olympia, WA",US,WA,Olympia,25,46.9914485,-122.7938703
"Smyrna, GA",US,GA,Smyrna,25,33.8779328,-84.4844138
"Aurora, CO",US,CO,Aurora,25,39.743111,-104.6733968
"Roseville, CA",US,CA,Roseville,25,38.7499635,-121.286239
"Chesapeake, VA",US,VA,Chesapeake,25,36.7873527,-76.2557025
"Cary, NC",US,NC,Cary,25,35.7832375,-78.7800263
"OklahomaCity, OK",US,OK,Oklahoma City,24,35.5342005,-97.5305138
"StatenIsland, NY",US,NY,Staten Island,24,40.5834557,-74.1496048
"Naples, FL",US,FL,Naples,24,26.2548904,-81.8001793
"Ashburn, VA",US,VA,Ashburn,24,39.029784,-77.4744148
"Chandler, AZ",US,AZ,Chandler,24,33.3184109,-111.8927174
"Glendale, CA",US,CA,Glendale,24,34.1235724,-118.259173
"Frisco, TX",US,TX,Frisco,24,33.130761,-96.8223219
"London, ENG",GB,ENG,London,24,51.5074456,-0.1277653
"Columbia, MD",US,MD,Columbia,24,39.1938429,-76.8646092
"Mesa, AZ",US,AZ,Mesa,24,33.4598828,-111.837121
"BatonRouge, LA",US,LA,Baton Rouge,24,30.4322474,-91.1113975
"SantaClarita, CA",US,CA,Santa Clarita,23,34.4127963,-118.5538088
"Gilbert, AZ",US,AZ,Gilbert,23,33.291268,-111.7374503
"Vancouver, WA",US,WA,Vancouver,23,45.628744,-122.6866312
"Milwaukee, WI",US,WI,Milwaukee,23,43.0775181,-87.8812647
"Lawrenceville, GA",US,GA,Lawrenceville,22,33.9498181,-83.9878669
"WinstonSalem, NC",US,NC,Winston Salem,22,36.0998131,-80.2440518
"Alpharetta, GA",US,GA,Alpharetta,22,34.0725595,-84.2540994
"Lexington, KY",US,KY,Lexington,22,37.9777176,-84.5284454
"Burbank, CA",US,CA,Burbank,22,34.1541437,-118.3372797
"Queens, NY",US,NY,Queens,22,40.7135078,-73.8283132
"Gaithersburg, MD",US,MD,Gaithersburg,21,39.1415292,-77.1924423
"Bakersfield, CA",US,CA,Bakersfield,21,35.372195,-119.007864
"WestHollywood, CA",US,CA,West Hollywood,21,34.0915358,-118.3608414
"LongIslandCity, NY",US,NY,Long Island City,21,40.7455316,-73.9484995
"Rochester, NY",US,NY,Rochester,21,43.163418,-77.6084615
"Carmel, IN",US,IN,Carmel,21,39.9991021,-86.1310902
"Franklin, TN",US,TN,Franklin,21,35.9284153,-86.8906237
"Cleveland, OH",US,OH,Cleveland,21,41.5056561,-81.6964895
"Honolulu, HI",US,HI,Honolulu,21,21.304547,-157.855676
"SanMateo, CA",US,CA,San Mateo,21,37.5439605,-122.2918837
"Tulsa, OK",US,OK,Tulsa,21,36.1563122,-95.9927516
"SugarLand, TX",US,TX,Sugar Land,21,29.6000008,-95.6230734
"Bellevue, WA",US,WA,Bellevue,21,47.6182149,-122.1845924
"WestPalmBeach, FL",US,FL,West Palm Beach,20,26.7207546,-80.089365
"Gainesville, FL",US,FL,Gainesville,20,29.6256978,-82.3761159
"MissouriCity, TX",US,TX,Missouri City,20,29.6185669,-95.5377215
"Hoboken, NJ",US,NJ,Hoboken,20,40.735565,-74.0287427
"Montclair, NJ",US,NJ,Montclair,20,40.8185814,-74.2228638
"Woodbridge, VA",US,VA,Woodbridge,20,38.636447,-77.2676335
"Fresno, CA",US,CA,Fresno,20,36.7394421,-119.78483
"Garland, TX",US,TX,Garland,20,32.91258,-96.63596
"Wilmington, NC",US,NC,Wilmington,20,34.2137191,-77.9007429
"Richmond, TX",US,TX,Richmond,20,29.5863478,-95.7716168
"HuntingtonBeach, CA",US,CA,Huntington Beach,19,33.7311006,-117.9907645
"SaintAugustine, FL",US,FL,Saint Augustine,19,29.8946952,-81.3145395
"BeverlyHills, CA",US,CA,Beverly Hills,19,34.0695404,-118.3985558
"RedondoBeach, CA",US,CA,Redondo Beach,19,33.8474327,-118.389528
"WalnutCreek, CA",US,CA,Walnut Creek,19,37.8927194,-122.0553295
"Vienna, VA",US,VA,Vienna,19,38.9023484,-77.2628898
"Napa, CA",US,CA,Napa,19,38.2971367,-122.2855293
"ElkGrove, CA",US,CA,Elk Grove,19,38.4087993,-121.3716178
"SantaAna, CA",US,CA,Santa Ana,19,33.7034501,-117.8566584
"Knoxville, TN",US,TN,Knoxville,19,35.9516352,-83.9308819
"Dayton, OH",US,OH,Dayton,19,39.7665973,-84.1850615
"Laurel, MD",US,MD,Laurel,19,39.1024494,-76.8416137
"Parker, CO",US,CO,Parker,19,39.4948514,-104.78529
"Valencia, CA",US,CA,Valencia,19,37.1358964,-121.6547739
"Beaverton, OR",US,OR,Beaverton,19,45.4912376,-122.8009972
"RanchoCucamonga, CA",US,CA,Rancho Cucamonga,18,34.1033192,-117.5751730
"WinterGarden, FL",US,FL,Winter Garden,18,28.5656649,-81.5856742
"MorenoValley, CA",US,CA,Moreno Valley,18,33.9375177,-117.2305791
"WestHartford, CT",US,CT,West Hartford,18,41.7608174,-72.7389705
"BoyntonBeach, FL",US,FL,Boynton Beach,18,26.5256179,-80.0666026
"ChulaVista, CA",US,CA,Chula Vista,18,32.6400541,-117.0841950
"Spokane, WA",US,WA,Spokane,18,47.6571934,-117.42351
"AnnArbor, MI",US,MI,Ann Arbor,18,42.2813722,-83.7484616
"Savannah, GA",US,GA,Savannah,18,32.0836449,-81.148434
"Littleton, CO",US,CO,Littleton,18,39.5901187,-105.0219507
"ManhattanBeach, CA",US,CA,Manhattan Beach,17,33.8897798,-118.3935254
"Fairfield, CA",US,CA,Fairfield,17,38.259349,-122.046107
"Corona, CA",US,CA,Corona,17,33.8714672,-117.586949
"Temecula, CA",US,CA,Temecula,17,33.4621967,-117.1057274
"Greenville, SC",US,SC,Greenville,17,34.851354,-82.3984882
"OakPark, IL",US,IL,Oak Park,17,41.8878145,-87.7887615
"Jamaica, NY",US,NY,Jamaica,17,40.699835,-73.8077023
"Oceanside, CA",US,CA,Oceanside,17,33.191355,-117.3787411
"Bothell, WA",US,WA,Bothell,17,47.7603126,-122.1915305
"FortMyers, FL",US,FL,Fort Myers,17,26.5479794,-81.8423521
"Rockville, MD",US,MD,Rockville,17,39.0841518,-77.1460645
"RedwoodCity, CA",US,CA,Redwood City,16,37.4822811,-122.2316953
"NorthHollywood, CA",US,CA,North Hollywood,16,34.1649502,-118.3747520
"Springfield, VA",US,VA,Springfield,16,38.7749935,-77.1803819
"EdenPrairie, MN",US,MN,Eden Prairie,16,44.8546856,-93.4707860
"ThousandOaks, CA",US,CA,Thousand Oaks,16,34.1877934,-118.8733395
"Orange, CA",US,CA,Orange,16,33.7872568,-117.850308
"Anchorage, AK",US,AK,Anchorage,16,61.2216643,-149.8904316
"Roswell, GA",US,GA,Roswell,16,34.0634783,-84.3809826
"Toronto, ON",CA,ON,Toronto,16,43.663462,-79.3977597
"Anaheim, CA",US,CA,Anaheim,16,33.8002599,-117.8817426
"Carrollton, TX",US,TX,Carrollton,16,32.9917989,-96.9370253
"SanRamon, CA",US,CA,San Ramon,16,37.7648021,-121.9544387
"Huntsville, AL",US,AL,Huntsville,16,34.7122983,-86.5898322
"MiraMar, FL",US,FL,Mira Mar,16,27.3353117,-82.5423777
"Easton, PA",US,PA,Easton,16,40.692139,-75.213655
"ChapelHill, NC",US,NC,Chapel Hill,16,35.9346402,-79.0280545
"Doral, FL",US,FL,Doral,16,25.8524271,-80.3726833
"Concord, CA",US,CA,Concord,16,37.9737812,-122.0290705
"Eugene, OR",US,OR,Eugene,16,44.0553238,-123.0925354
"Midlothian, VA",US,VA,Midlothian,16,37.486806,-77.6473195
"Leander, TX",US,TX,Leander,16,30.5864039,-97.8557083
"Bowie, MD",US,MD,Bowie,16,39.0076121,-76.7794825
"OverlandPark, KS",US,KS,Overland Park,15,38.912157,-94.6683609
"MountainView, CA",US,CA,Mountain View,15,37.3692299,-122.0731813
"KingofPrussia, PA",US,PA,Kingof Prussia,15,,
"FortCollins, CO",US,CO,Fort Collins,15,40.5590516,-105.0786925
"WhitePlains, NY",US,NY,White Plains,15,41.0282378,-73.7586059
"Ypsilanti, MI",US,MI,Ypsilanti,15,42.2448069,-83.6129954
"Dublin, OH",US,OH,Dublin,15,40.094091,-83.1384696
"Norwalk, CT",US,CT,Norwalk,15,41.0956718,-73.4219246
"Escondido, CA",US,CA,Escondido,15,33.1184074,-117.09223
"Goleta, CA",US,CA,Goleta,15,34.4377354,-119.843372
"Irving, TX",US,TX,Irving,15,32.8245521,-96.9494441
"Henrico, VA",US,VA,Henrico,15,37.6294756,-77.5189032
"Kirkland, WA",US,WA,Kirkland,15,47.7116971,-122.1797608
"SantaClara, CA",US,CA,Santa Clara,15,37.3808894,-121.97592
"Frederick, MD",US,MD,Frederick,15,39.415779,-77.4127562
"Stafford, VA",US,VA,Stafford,15,38.4177215,-77.4204184
"Boise, ID",US,ID,Boise,15,43.6078846,-116.1946012
"PaloAlto, CA",US,CA,Palo Alto,15,37.4423868,-122.15959
"Sunnyvale, CA",US,CA,Sunnyvale,15,37.3784195,-122.0307759
"Hayward, CA",US,CA,Hayward,15,37.6659478,-122.0993478
"RoundRock, TX",US,TX,Round Rock,15,30.5085915,-97.6788056
"Ventura, CA",US,CA,Ventura,15,34.2783355,-119.293174
"Annapolis, MD",US,MD,Annapolis,15,38.977024,-76.525212
"Inglewood, CA",US,CA,Inglewood,15,33.9651038,-118.3395443
"Riverview, FL",US,FL,Riverview,15,27.8497388,-82.31244
"Fairfield, CT",US,CT,Fairfield,15,41.1428951,-73.2584121
"CastroValley, CA",US,CA,Castro Valley,14,37.6945519,-122.0857432
"UpperMarlboro, MD",US,MD,Upper Marlboro,14,38.8162451,-76.7517080
"SanLuisObispo, CA",US,CA,San Luis Obispo,14,35.250715,-120.6872016
"Hyattsville, MD",US,MD,Hyattsville,14,38.9552277,-76.96952
"PorterRanch, CA",US,CA,Porter Ranch,14,34.2758168,-118.574715
"MountVernon, NY",US,NY,Mount Vernon,14,40.9125085,-73.8386504
"PembrokePines, FL",US,FL,Pembroke Pines,14,26.0064073,-80.349738
"NorthLasVegas, NV",US,NV,North Las Vegas,14,36.2005843,-115.1215840
"Summerville, SC",US,SC,Summerville,14,32.9943648,-80.218598
"NewRochelle, NY",US,NY,New Rochelle,14,40.9115386,-73.7826363
"NewportBeach, CA",US,CA,Newport Beach,14,33.6170092,-117.9294401
"MarinadelRey, CA",US,CA,Marinadel Rey,14,,
"MissionViejo, CA",US,CA,Mission Viejo,14,33.5965685,-117.6594050
"ArmyPostOffice, AE",US,AE,Army Post Office,14,,
"Charlottesville, VA",US,VA,Charlottesville,14,38.0314369,-78.4917906
"Woodbury, MN",US,MN,Woodbury,14,44.9432441,-92.9303973
"Cumming, GA",US,GA,Cumming,14,34.2007379,-84.1429459
"Reno, NV",US,NV,Reno,14,39.5286701,-119.8117867
"CostaMesa, CA",US,CA,Costa Mesa,14,33.6633386,-117.9033170
"Camarillo, CA",US,CA,Camarillo,14,34.215808,-119.034073
"Kennesaw, GA",US,GA,Kennesaw,14,34.0184258,-84.611292
"Cypress, TX",US,TX,Cypress,14,29.97015,-95.69858
"DesMoines, IA",US,IA,Des Moines,14,41.5868654,-93.6249494
"CedarPark, TX",US,TX,Cedar Park,14,30.5358602,-97.8177173
"Greenwich, CT",US,CT,Greenwich,14,41.021446,-73.625634
"Renton, WA",US,WA,Renton,14,47.4961661,-122.2102194
"ChevyChase, MD",US,MD,Chevy Chase,14,38.9813699,-77.0849245
"Puyallup, WA",US,WA,Puyallup,14,47.1926543,-122.2953687
"Leesburg, VA",US,VA,Leesburg,14,39.1116722,-77.5587831
"Hawthorne, CA",US,CA,Hawthorne,14,33.9335004,-118.3519756
"McLean, VA",US,VA,Mc Lean,14,38.9357063,-77.1802738
"Germantown, MD",US,MD,Germantown,14,39.1713082,-77.2655785
"Herndon, VA",US,VA,Herndon,14,38.9528369,-77.3852557
"StudioCity, CA",US,CA,Studio City,14,34.1483989,-118.3961877
"Syracuse, NY",US,NY,Syracuse,14,43.0768312,-76.1694003
"Huntersville, NC",US,NC,Huntersville,13,35.4175965,-80.8285797
"Clarksville, TN",US,TN,Clarksville,13,36.5259408,-87.3609209
"WesleyChapel, FL",US,FL,Wesley Chapel,13,28.1866014,-82.3661210
"AgouraHills, CA",US,CA,Agoura Hills,13,34.1481692,-118.7655456
"WoodlandHills, CA",US,CA,Woodland Hills,13,34.1680978,-118.5970021
"Novato, CA",US,CA,Novato,13,38.1058658,-122.566106
"Folsom, CA",US,CA,Folsom,13,38.6488126,-121.1180849
"Issaquah, WA",US,WA,Issaquah,13,47.522067,-122.0285207
"Reston, VA",US,VA,Reston,13,38.953282,-77.3464516
"Pleasanton, CA",US,CA,Pleasanton,13,37.6583798,-121.882366
"Montgomery, AL",US,AL,Montgomery,13,32.37742,-86.3091683
"CastleRock, CO",US,CO,Castle Rock,13,39.4235011,-104.8775147
"Bradenton, FL",US,FL,Bradenton,13,27.4625066,-82.5835543
"McDonough, GA",US,GA,Mc Donough,13,32.0761260,-81.0943690
"Fremont, CA",US,CA,Fremont,13,37.5591585,-122.0073514
"Auburn, WA",US,WA,Auburn,13,47.306429,-122.2323199
"Vallejo, CA",US,CA,Vallejo,13,38.1124641,-122.2450381
"SantaRosa, CA",US,CA,Santa Rosa,13,38.4423572,-122.6745352
"Clovis, CA",US,CA,Clovis,13,36.8178249,-119.6785248
"Augusta, GA",US,GA,Augusta,13,33.500558,-82.0225816
"Evanston, IL",US,IL,Evanston,13,42.0693991,-87.682932
"Fontana, CA",US,CA,Fontana,13,34.0952082,-117.4372067
"Lakewood, CO",US,CO,Lakewood,13,39.7283675,-105.106522
"Whittier, CA",US,CA,Whittier,13,33.9778416,-118.0302178
"Lakewood, CA",US,CA,Lakewood,13,33.8505136,-118.140405
"CulverCity, CA",US,CA,Culver City,13,34.0211224,-118.3964660
"Manchester, CT",US,CT,Manchester,13,41.7813345,-72.530455
"Edmond, OK",US,OK,Edmond,13,35.6370936,-97.4687852
"WestLafayette, IN",US,IN,West Lafayette,12,40.4258686,-86.9080655
"Fayetteville, NC",US,NC,Fayetteville,12,35.0550911,-78.8847555
"Fredericksburg, VA",US,VA,Fredericksburg,12,38.2984288,-77.4569285
"PortSaintLucie, FL",US,FL,Port Saint Lucie,12,27.2939333,-80.3503283
"GrandPrairie, TX",US,TX,Grand Prairie,12,32.7459645,-96.9977846
"CedarRapids, IA",US,IA,Cedar Rapids,12,41.9758872,-91.6704053
"ShakerHeights, OH",US,OH,Shaker Heights,12,41.4739419,-81.5370671
"Douglasville, GA",US,GA,Douglasville,12,33.7497214,-84.7486026
"MountPleasant, SC",US,SC,Mount Pleasant,12,32.7940651,-79.8625851
"ValleyStream, NY",US,NY,Valley Stream,12,40.6631362,-73.7056955
"DeerfieldBeach, FL",US,FL,Deerfield Beach,12,26.3183420,-80.0996306
"OwingsMills, MD",US,MD,Owings Mills,12,39.4148436,-76.7918234
"Berkeley, CA",US,CA,Berkeley,12,37.8701007,-122.268138
"Sanborn, NY",US,NY,Sanborn,12,43.1437383,-78.8750629
"Peoria, AZ",US,AZ,Peoria,12,33.6301814,-112.2321332
"FortMill, SC",US,SC,Fort Mill,12,35.0073697,-80.9450759
"MenloPark, CA",US,CA,Menlo Park,12,37.4519671,-122.1779920
"Salem, OR",US,OR,Salem,12,44.9323459,-123.028237
"Arvada, CO",US,CO,Arvada,12,39.8105824,-105.1260679
"Sparks, NV",US,NV,Sparks,12,39.5418698,-119.7604182
"Oxnard, CA",US,CA,Oxnard,12,34.1994386,-119.1760976
"Olathe, KS",US,KS,Olathe,12,38.8793376,-94.8219028
"Kissimmee, FL",US,FL,Kissimmee,12,28.2938775,-81.4038983
"Portland, ME",US,ME,Portland,12,43.6539343,-70.2910991
"Wheaton, IL",US,IL,Wheaton,12,41.8644734,-88.1130713
"Nashua, NH",US,NH,Nashua,12,42.7797557,-71.4964905
"LeesSummit, MO",US,MO,Lees Summit,12,38.8743996,-94.1818119
"Hoover, AL",US,AL,Hoover,12,33.3384313,-86.8497813
"Acworth, GA",US,GA,Acworth,12,34.0545673,-84.6723841
"LakeForest, CA",US,CA,Lake Forest,12,33.6469261,-117.6859213
"Vancouver, BC",CA,BC,Vancouver,12,49.2686069,-123.085922
"Richardson, TX",US,TX,Richardson,12,32.95992,-96.73083
"WakeForest, NC",US,NC,Wake Forest,12,35.9803138,-78.5103731
"Columbus, GA",US,GA,Columbus,12,32.4501599,-84.9877001
"Darien, CT",US,CT,Darien,12,41.0771169,-73.4716428
"NewCastle, DE",US,DE,New Castle,12,32.6996181,-81.1187168
"Suwanee, GA",US,GA,Suwanee,12,34.0795447,-84.0879674
"Lincoln, NE",US,NE,Lincoln,12,40.8158853,-96.7139137
"Newark, NJ",US,NJ,Newark,12,40.689064,-74.1772549
"Plantation, FL",US,FL,Plantation,12,27.0643757,-82.370329
"Modesto, CA",US,CA,Modesto,12,37.6690127,-120.9127736
"Melbourne, FL",US,FL,Melbourne,12,28.1016898,-80.6481634
"Alameda, CA",US,CA,Alameda,12,37.7652076,-122.241635
"MapleGrove, MN",US,MN,Maple Grove,12,45.091352,-93.4358459
"Broomfield, CO",US,CO,Broomfield,12,39.9307783,-105.0743296
"Beaumont, CA",US,CA,Beaumont,12,33.9287781,-116.9851483
"Chattanooga, TN",US,TN,Chattanooga,11,35.0632254,-85.3144362
"Williamsburg, VA",US,VA,Williamsburg,11,37.2765411,-76.7085949
"Westerville, OH",US,OH,Westerville,11,40.1185325,-82.9245655
"CoralSprings, FL",US,FL,Coral Springs,11,26.2426907,-80.2566351
"WestChester, PA",US,PA,West Chester,11,39.9639548,-75.6112536
"Murfreesboro, TN",US,TN,Murfreesboro,11,35.8136895,-86.3497098
"Pflugerville, TX",US,TX,Pflugerville,11,30.44059,-97.62268
"SandySprings, GA",US,GA,Sandy Springs,11,33.9177436,-84.3797729
"Minnetonka, MN",US,MN,Minnetonka,11,44.9702345,-93.4432253
"Westfield, NJ",US,NJ,Westfield,11,40.6492804,-74.3476028
"Roanoke, VA",US,VA,Roanoke,11,37.2732264,-79.941016
"Buford, GA",US,GA,Buford,11,34.1200543,-84.0065776
"SiouxFalls, SD",US,SD,Sioux Falls,11,43.5476008,-96.7293629
"RoyalOak, MI",US,MI,Royal Oak,11,42.4894801,-83.1446485
"Newark, DE",US,DE,Newark,11,39.6701701,-75.7527691
"Altadena, CA",US,CA,Altadena,11,34.1928193,-118.1374663
"PalmDesert, CA",US,CA,Palm Desert,11,33.7255672,-116.3999154
"Hollywood, FL",US,FL,Hollywood,11,26.0128255,-80.1676697
"AlisoViejo, CA",US,CA,Aliso Viejo,11,33.5761376,-117.7258122
"Tamarac, FL",US,FL,Tamarac,11,26.1924442,-80.1775345
"Albany, NY",US,NY,Albany,11,42.6511674,-73.754968
"Tempe, AZ",US,AZ,Tempe,11,33.4221301,-111.942638
"Harrisburg, PA",US,PA,Harrisburg,11,40.2621497,-76.8776602
"FortWayne, IN",US,IN,Fort Wayne,11,41.0799898,-85.1386015
"Fullerton, CA",US,CA,Fullerton,11,33.8685908,-117.9227053
"Lakeland, FL",US,FL,Lakeland,11,28.0457923,-81.9519232
"Garner, NC",US,NC,Garner,11,35.7011664,-78.5898342
"Snellville, GA",US,GA,Snellville,11,33.8573294,-84.0130925
"Thornton, CO",US,CO,Thornton,11,39.8664037,-104.9805197
"Glendale, AZ",US,AZ,Glendale,11,33.6524966,-112.1856
"Hillsboro, OR",US,OR,Hillsboro,11,45.541899,-122.94743
"Matthews, NC",US,NC,Matthews,11,35.1159427,-80.7182196
"Norman, OK",US,OK,Norman,11,35.2199136,-97.4428953
"Manassas, VA",US,VA,Manassas,11,38.7501372,-77.4728139
"Asheville, NC",US,NC,Asheville,11,35.6019048,-82.5546379
"MillValley, CA",US,CA,Mill Valley,11,37.8960618,-122.536232
"Cambridge, MA",US,MA,Cambridge,11,42.3739168,-71.1106677
"Kalamazoo, MI",US,MI,Kalamazoo,11,42.291707,-85.5872286
"Troy, MI",US,MI,Troy,11,42.5425797,-83.1909496
"Clayton, NC",US,NC,Clayton,11,35.6585361,-78.4647981
"Petaluma, CA",US,CA,Petaluma,11,38.2412911,-122.6346364
"Vista, CA",US,CA,Vista,11,38.6744539,-120.0501798
"Lansing, MI",US,MI,Lansing,11,42.7340573,-84.553437
"EllicottCity, MD",US,MD,Ellicott City,10,39.2757359,-76.8317417
"SanClemente, CA",US,CA,San Clemente,10,33.4270275,-117.6124179
"LaCanadaFlintridge, CA",US,CA,La Canada Flintridge,10,34.1998302,-118.2005236
"SantaFe, NM",US,NM,Santa Fe,10,35.6780758,-105.9520512
"Yonkers, NY",US,NY,Yonkers,10,40.9355914,-73.9023471
"Blaine, WA",US,WA,Blaine,10,48.9922759,-122.7365321
"Edina, MN",US,MN,Edina,10,44.8677363,-93.3281036
"Vacaville, CA",US,CA,Vacaville,10,38.3604792,-121.9954954
